CompanyId,CompanyName,FleetId,LocationId,LocationName,StockType,TyreId,TyreSerialNumber,ProductName,LastKnownPressure,LastKnownTreadDepth,TyreInitialTreadDepth,TyreMountMileage,TyreMileage,TyreLifeName,TyreCode,TyreMountDate,LastMountedVehicle
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,f32a72ab-2c77-4191-bc5a-c439217c8a6e,ABT813030201,Sinproducto2,,0,0,,0,New,,,ABT813
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,fb66f529-6021-459f-a60c-327aa2c20e75,ABT813030301,Sinproducto2,,0,0,,0,New,,,ABT813
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,f529007c-e6fc-4598-8e3f-99ca7fa7caad,ABT813030401,Sinproducto2,,0,0,,0,New,,,ABT813
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,abf0f1a2-ef7f-4853-80a7-3d487b26c362,ABT813020101,Sinproducto2,,0,0,,0,New,,,ABT813
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,ba11e1e3-ddc1-4594-ba9e-600d2a72ccf2,ABT813020201,Sinproducto2,,0,0,,0,New,,,ABT813
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,ebe3956d-c888-4fa0-84e1-c3f2adecc4fe,ABT813020301,Sinproducto2,,0,0,,0,New,,,ABT813
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,dd6fb914-1062-4b1c-9dca-4d76904462ae,ABT813020401,Sinproducto2,,0,0,,0,New,,,ABT813
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,63e93c7b-ef91-48cb-a710-d88ec5faeeb2,93099,Super Cargo SC305 11R22.5,,17.5,23,185340,6937,New,,9/24/2021 11:59:37 AM -05:00,ARI758
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,0c3fed2d-2fe6-40e5-a1b1-3929efee844a,93089,Super Cargo SC305 11R22.5,,17.7,23,185340,6937,New,,9/24/2021 11:59:37 AM -05:00,ARI758
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,1e9b37a0-3d2f-437a-92db-63fc5afd14fa,93090,Super Cargo SC305 11R22.5,,16.7,23,185340,6937,New,,9/24/2021 11:59:37 AM -05:00,ARI758
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,421ee366-10f8-458e-afb2-754e80f518c2,162246,Super Cargo SC305 11R22.5,,20,23,176757,2869,New,,,ARI819
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,3b3a4c58-5650-4a37-805b-88b07a7b45c5,103101,Super Cargo SC305 11R22.5,,20.5,23,176757,2869,New,,,ARI819
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,28979b8d-0b64-4040-a20c-091133adc1b2,103109,Super Cargo SC305 11R22.5,,20.3,23,176757,2869,New,,,ARI819
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,b3930494-0696-4291-9576-e55d2b28dbcb,103102,Super Cargo SC305 11R22.5,,20.2,23,176757,2869,New,,,ARI819
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,e3be0e87-585c-4e6a-96f1-a2e61f900f42,93083,Super Cargo SC305 11R22.5,,16,23,112636,3249,New,,9/10/2021 11:59:37 AM -05:00,AYJ931
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,7999f586-ddc5-4c48-99fd-aa75298baf93,93085,Super Cargo SC305 11R22.5,,16,23,112636,3249,New,,9/10/2021 11:59:37 AM -05:00,AYJ931
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,5ccbe326-e106-4f45-a5b7-181b1deb07d8,93084,Super Cargo SC305 11R22.5,,16,23,112636,3249,New,,9/10/2021 11:59:37 AM -05:00,AYJ931
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,a9cb8a80-9efc-4a24-b70e-999356f92630,93087,Super Cargo SC305 11R22.5,,16.4,23,112636,3249,New,,9/10/2021 11:59:37 AM -05:00,AYJ931
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,d4bb0cb1-8331-44b1-bf20-28e2fe4c1630,93093,Super Cargo SC305 11R22.5,,13.4,23,4732,8379,New,,11/18/2021 2:23:20 AM +00:00,BFP857
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,7eec25bb-a57c-471b-94a9-082eb3e14cfb,93091,Super Cargo SC305 11R22.5,,13,23,4732,8379,New,,11/18/2021 2:23:20 AM +00:00,BFP857
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,ac7f2146-976a-4f60-b23a-936442d435ec,93100,Super Cargo SC305 11R22.5,,14.3,23,4732,8379,New,,11/18/2021 2:23:20 AM +00:00,BFP857
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,c64154c9-9f01-44b2-b600-40c6071d27f4,93096,Super Cargo SC305 11R22.5,,13,23,4732,8379,New,,11/18/2021 2:23:20 AM +00:00,BFP857
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,4c1fc8eb-dab2-473b-8c41-91f49e0bdd0c,103103,Super Cargo SC305 11R22.5,6.48106,12.3,23,3735,10201,New,,1/18/2022 12:15:43 AM +00:00,BHY771
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,0071dd50-6a69-4193-b7ea-bd3aefc7d02c,103105,Super Cargo SC305 11R22.5,6.89474,12.1,23,3735,10201,New,,1/18/2022 12:15:43 AM +00:00,BHY771
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,476f291d-f6e1-4d08-a8ab-a5313fda6859,103104,Super Cargo SC305 11R22.5,6.89474,12.4,23,3735,10201,New,,1/18/2022 12:44:34 AM +00:00,BHY771
